latitude,longitude,station_info
41.874257,-87.817318,"('Forest Park', 'Blue Line')"
41.983507,-87.859388,"('Rosemont', 'Blue Line')"
41.879507,-87.626037,"('Adams/Wabash', 'Brown, Green, Orange, Pink & Purple lines')"
41.977984,-87.658668,"('Berwyn', 'Red Line')"
41.98227,-87.8089,"('Harlem', ""Blue Line - O'Hare Branch"")"
41.938132,-87.712359,"('Belmont', 'Blue Line')"
41.90392,-87.631412,"('Clark/Division', 'Red Line')"
41.821732,-87.621371,"('Indiana', 'Green Line')"
41.853751,-87.733258,"('Kostner', 'Pink Line')"
42.038951,-87.751919,"('Dempster-Skokie', 'Yellow Line')"
41.885586,-87.652193,"('Morgan', 'Green & Pink lines')"
41.871574,-87.745154,"('Cicero', 'Blue Line')"
42.02624348,-87.74722084,"('Oakton-Skokie', 'Yellow Line')"
41.780309,-87.605857,"('Cottage Grove', 'Green Line')"
41.78661,-87.737875,"('Midway', 'Orange Line')"
42.063987,-87.685617,"('Central', 'Purple Line')"
41.885412,-87.725404,"('Pulaski', 'Green Line')"
41.887159,-87.783661,"('Ridgeland', 'Green Line')"
42.073153,-87.69073,"('Linden', 'Purple Line')"
41.79542,-87.631157,"('Garfield', 'Red Line')"
41.910655,-87.649177,"('North/Clybourn', 'Red Line')"
41.872108,-87.791602,"('Oak Park', 'Blue Line')"
41.954521,-87.674868,"('Irving Park', 'Brown Line')"
41.867405,-87.62659,"('Roosevelt', 'Red, Orange & Green lines')"
41.966046,-87.701644,"('Francisco', 'Brown Line')"
41.8768,-87.631739,"('LaSalle/Van Buren', 'Brown, Orange, Purple & Pink lines')"
41.854109,-87.694774,"('California', 'Pink Line')"
41.854225,-87.685129,"('Western', 'Pink Line')"
41.768367,-87.625724,"('69th', 'Red Line')"
41.882695,-87.63378,"('Washington/Wells', 'Brown, Orange, Purple & Pink lines')"
41.874039,-87.627479,"('Harrison', 'Red Line')"
41.885678,-87.641782,"('Clinton', 'Green & Pink lines')"
41.967901,-87.713065,"('Kimball', 'Brown Line')"
41.947028,-87.674642,"('Addison', 'Brown Line')"
41.88574,-87.627835,"('State/Lake', 'Brown, Green, Orange, Pink & Purple lines')"
41.886519,-87.744698,"('Cicero', 'Green Line')"
41.961539,-87.743574,"('Montrose', 'Blue Line')"
41.88497405,-87.67689149,"('Damen', 'Green Line')"
